date,1h,2h,3h,4h,5h,6h,7h,8h,9h,10h,11h,12h,13h,14h,15h,16h,17h,18h,19h,20h,21h,22h,23h,24h,25h,26h,27h,28h,29h,30h,31h,32h,33h,34h,35h,36h,37h,38h,39h,40h,41h,42h,43h,44h,45h,46h,47h,48h
2010/5/21,8855.214844,8662.880859,8505.578125,8320.990234,8076.726074,7677.77832,7329.669434,7066.231445,6926.487793,6883.286133,6951.675781,7253.369141,7685.884766,8522.672852,9308.027344,9676.162109,10061.24609,10125.06738,9977.901367,9986.089844,9943.660156,9889.584961,9816.438477,9703.583984,9638.804688,9580.90918,9525.266602,9479.21582,9430.755859,9401.337891,9336.52832,9318.87793,9389.196289,9508.506836,9751.727539,10222.53711,10735.66309,10746.77148,10624.93359,10382.73926,10190.98438,10070.00977,9888.083984,9593.790039,9288.861328,9391.240234,9195.430664,9088.829102
2010/5/22,8905.347656,8696.820313,8471.117188,8276.52832,7973.240234,7591.84082,7246.03125,6965.516602,6814.160156,6721.601563,6709.375488,6798.95752,6929.561035,7225.118652,7509.229004,7930.739746,8442.325195,8875.078125,9153.21582,9406.026367,9351.072266,9355.8125,9203.385742,9076.072266,8968.96582,8853.576172,8760.852539,8671.804688,8596.49707,8520.397461,8484.600586,8505.200195,8584.447266,8724.357422,9009.521484,9332.771484,9862.245117,10056.44727,9945.878906,9680.033203,9494.443359,9332.917969,9218.212891,9011.415039,8796.277344,8812.044922,8663.135742,8593.828125
2010/5/23,8578.537109,8329.254883,8098.469727,7874.321777,7633.388184,7297.057129,7016.14209,6802.40332,6684.888184,6610.04248,6605.507324,6675.908203,6789.941406,7014.027832,7254.166504,7599.279297,8090.256348,8547.732422,8866.572266,9089.106445,9121.09082,9112.46875,8990.938477,8873.118164,8759.442383,8680.073242,8576.680664,8471.325195,8371.416992,8312.998047,8280.953125,8301.520508,8387.532227,8572.946289,8884.220703,9304.286133,9904.416016,10118.23145,10022.65234,9821.047852,9652.428711,9537.483398,9395.30957,9138.708008,8873.724609,8800.619141,8590.313477,8469.941406
2010/5/24,8489.083984,8274.462891,8088.209473,7912.23877,7695.123535,7354.129883,7073.986816,6888.680664,6795.519043,6792.864746,6884.022949,7185.811523,7608.315918,8374.90918,9121.699219,9523.012695,9944.881836,10063.04785,10047.33105,10103.97852,10108.24805,10092.06445,10024.18848,9890.695313,9800.306641,9754.792969,9710.146484,9657.780273,9605.009766,9564.018555,9522.238281,9495.623047,9599.642578,9759.415039,10066.0127,10533.17188,11047.66797,11089.64453,10986.10156,10718.79199,10505.31543,10333.14844,10129.49414,9808.728516,9443.80957,9452.631836,9224.423828,9093.390625
2010/5/25,9001.367188,8815.207031,8634.208008,8459.057617,8199.389648,7792.536621,7445.370605,7198.842773,7046.94873,7011.156738,7084.977539,7398.184082,7832.338867,8685.711914,9470.875977,9867.347656,10277.4707,10352.92578,10230.66504,10247.39844,10200.01855,10143.89453,10063.90527,9959.337891,9880.981445,9826.235352,9756.151367,9717.878906,9680.485352,9658.870117,9578.326172,9580.40625,9667.77832,9851.490234,10148.15527,10704.12402,11221.2959,11242.46387,11118.10645,10860.21191,10667.36133,10513.83008,10301.03711,9979.594727,9615.740234,9654.925781,9398.030273,9242.072266
2010/5/26,8934.308594,8742.851563,8579.290039,8388.657227,8144.897461,7750.072754,7393.119141,7128.771484,6992.187012,6948.595215,7023.89209,7328.592285,7764.085449,8583.505859,9354.720703,9726.486328,10118.74023,10186.08984,10058.19238,10078.18848,10045.15039,9994.058594,9906.001953,9806.672852,9742.907227,9684.049805,9613.795898,9581.667969,9527.655273,9522.166992,9455.740234,9432.219727,9518.618164,9662.507813,9935.330078,10447.83984,10929.04688,10931.68066,10810.9043,10563.68945,10376.16602,10235.61035,10045.58691,9754.735352,9413.682617,9502.18457,9279.864258,9148.082031
2010/5/27,8919.261719,8705.695313,8535.850586,8352.260742,8107.697266,7708.817871,7338.730469,7080.486328,6953.577637,6911.63916,6983.646484,7278.764648,7710.806641,8534.818359,9330.0625,9696.503906,10110.0459,10197.99805,10076.63379,10090.19531,10052.90723,10011.44336,9935.861328,9811.292969,9742.555664,9681.177734,9614.908203,9579.583984,9512.111328,9493.944336,9424.294922,9401.905273,9514.897461,9690.179688,9985.595703,10526.5,11041.06348,11053.9834,10926.33398,10660.58398,10461.875,10325.18652,10114.5791,9819.458984,9463.555664,9542.283203,9287.873047,9138.305664
2010/5/28,8867.759766,8688.43457,8527.869141,8340.65332,8100.562012,7694.748535,7341.185059,7089.765137,6943.603516,6895.18457,6966.914063,7277.203613,7703.54248,8532.640625,9314.548828,9690.679688,10085.2334,10146.85059,10005.02734,10017.2002,9973.553711,9926.31543,9855.339844,9738.648438,9679.131836,9617.416016,9552.56543,9514.324219,9477.239258,9445.242188,9388.112305,9367.174805,9428.375977,9572.734375,9823.354492,10344.84961,10851.16797,10860.23145,10750.87988,10510.33691,10319.0332,10187.52246,9993.095703,9705.832031,9369.960938,9459.228516,9243.612305,9126.759766
2010/5/29,8874.447266,8636.375977,8437.850586,8242.833008,7931.453613,7539.318359,7196.600098,6927.723633,6775.067871,6688.039063,6670.23291,6774.030762,6911.376953,7211.189453,7497.475098,7877.370605,8398.950195,8840.750977,9085.69043,9336.339844,9285.168945,9284.051758,9125.764648,9009.191406,8901.863281,8793.09668,8698.777344,8627.749023,8528.258789,8455.196289,8415.126953,8433.936523,8514.482422,8649.740234,8925.708984,9249.189453,9787.1875,9954.391602,9835.022461,9578.969727,9389.694336,9231.077148,9121.96875,8923.014648,8732.551758,8730.207031,8597.850586,8533.517578
2010/5/30,8560.489258,8362.404297,8132.095703,7949.625488,7665.98877,7323.558594,6988.118652,6728.526367,6585.905273,6536.549805,6507.572266,6621.814941,6705.671875,6962.024414,7225.682617,7573.408203,8065.265625,8435.821289,8787.650391,9016.276367,9056.844727,9067.844727,8928.236328,8837.754883,8763.648438,8679.853516,8582.514648,8455.955078,8383.029297,8301.669922,8249.705078,8267.414063,8311.790039,8415.114258,8688.15332,8983.730469,9512.816406,9701.550781,9614.106445,9391.237305,9212.318359,9042.501953,8910.363281,8695.856445,8504.223633,8516.889648,8357.210938,8315.148438
2010/5/31,8136.606445,7932.934082,7753.094727,7594.412598,7402.065918,7101.287598,6874.347656,6739.842773,6633.739258,6665.615723,6785.923828,7117.080078,7565.496582,8284.283203,8967.452148,9342.15918,9721.530273,9891.254883,9897.18457,9961.263672,9962.708984,9964.167969,9931.879883,9847.173828,9791.720703,9766.626953,9691.792969,9681.700195,9634.357422,9635.385742,9581.989258,9562.370117,9637.482422,9733.388672,9993.258789,10363.91406,10780.44336,10798.83301,10660.95996,10417.92773,10223.70215,10051.15723,9815.236328,9547.202148,9199.915039,9213.597656,8968.439453,8847.791016
