date,residual
2008-08-03,-57.58737465751619
2008-08-04,-23.862979098252254
2008-08-05,65.08395795554316
2008-08-06,147.9808069520277
2008-08-07,88.07927976859355
2008-08-08,143.8096080089017
2008-08-09,186.35146510941377
2008-08-10,-46.55513687343591
2008-08-11,20.41403589451147
2008-08-12,186.25013462953575
2008-08-13,135.1633868092904
2008-08-14,54.92613423458897
2008-08-15,174.39028826182766
2008-08-16,341.55980495017684
2008-08-17,140.3680235253505
2008-08-18,135.94710748039688
2008-08-19,22.022990447127086
2008-08-20,54.664931861580044
2008-08-21,66.60735475242109
2008-08-22,335.54245572267064
2008-08-23,560.1210303157695
2008-08-24,137.76318244393588
2008-08-25,204.2862943052769
2008-08-26,177.16967732157718
2008-08-27,173.62042612677214
2008-08-28,120.66860862272551
