date,load
12/10/2009,7232.68
12/10/2009,6954.55
12/10/2009,6832.12
12/10/2009,6763.28
12/10/2009,6694.83
12/10/2009,6767.82
12/10/2009,7041.97
12/10/2009,7277.19
12/10/2009,7845.64
12/10/2009,8480.21
12/10/2009,8910.17
12/10/2009,9418.97
12/10/2009,9699.18
12/10/2009,9834.84
12/10/2009,10119.03
12/10/2009,10260.69
12/10/2009,10404.37
12/10/2009,10483.85
12/10/2009,10486.71
12/10/2009,10461.7
12/10/2009,10471.36
12/10/2009,10441.58
12/10/2009,10411.78
12/10/2009,10447.12
12/10/2009,10507.36
12/10/2009,10586.66
12/10/2009,10612.61
12/10/2009,10619.69
12/10/2009,10648.16
12/10/2009,10573.19
12/10/2009,10407.93
12/10/2009,10325.03
12/10/2009,10087.88
12/10/2009,9992.15
12/10/2009,9835.17
12/10/2009,9835.73
12/10/2009,9880.48
12/10/2009,9853.78
12/10/2009,9549.66
12/10/2009,9160.44
12/10/2009,9095.99
12/10/2009,8828.56
12/10/2009,8642.29
12/10/2009,8454.31
12/10/2009,8168.3
12/11/2009,7933.76
12/11/2009,7674.7
12/11/2009,7436.82
12/11/2009,7115.26
12/11/2009,6830.65
12/11/2009,6649.11
12/11/2009,6589.16
12/11/2009,6595.81
12/11/2009,6632.54
12/11/2009,6862.04
12/11/2009,7056.33
12/11/2009,7663.76
12/11/2009,8237.7
12/11/2009,8658.99
12/11/2009,9184.25
12/11/2009,9478.27
12/11/2009,9679.13
12/11/2009,9910.41
12/11/2009,9998.68
12/11/2009,10068.05
12/11/2009,10126.33
12/11/2009,10137.44
12/11/2009,10181.94
12/11/2009,10221.02
12/11/2009,10208.85
12/11/2009,10214.87
12/11/2009,10228.22
12/11/2009,10224.25
12/11/2009,10266.39
12/11/2009,10236.06
12/11/2009,10265.16
12/11/2009,10306.73
12/11/2009,10210.5
12/11/2009,10046.67
12/11/2009,9773.61
12/11/2009,9423.45
12/11/2009,9109.99
12/11/2009,8859.17
12/11/2009,8720.38
12/11/2009,8857.89
12/11/2009,8954.36
12/11/2009,8771.27
12/11/2009,8560.71
12/11/2009,8731.78
12/11/2009,8580.21
12/11/2009,8554.67
12/11/2009,8322.13
12/11/2009,8177.64
12/12/2009,7970.89
12/12/2009,7698.64
12/12/2009,7394.49
12/12/2009,7083.59
12/12/2009,6790.27
12/12/2009,6609.01
12/12/2009,6493.6
12/12/2009,6453.61
12/12/2009,6487.9
12/12/2009,6569.85
12/12/2009,6621.89
12/12/2009,6848.85
12/12/2009,7108.83
12/12/2009,7415.9
12/12/2009,7813.51
12/12/2009,8195.58
12/12/2009,8579.61
12/12/2009,8884.83
12/12/2009,9005
12/12/2009,9153.36
12/12/2009,9116.55
12/12/2009,9143.85
12/12/2009,9113.46
12/12/2009,9096.67
12/12/2009,8996.12
12/12/2009,9064.1
12/12/2009,8982.44
12/12/2009,9046.02
12/12/2009,9093.2
12/12/2009,9110.8
12/12/2009,9172.41
12/12/2009,9349.09
12/12/2009,9439.99
12/12/2009,9298.46
12/12/2009,9281.55
12/12/2009,9198.22
12/12/2009,9029.43
12/12/2009,8827.64
