date,smoothed_season
2008-05-22,0.7584421800960403
2008-05-23,0.5003391166513154
2008-05-24,-0.3808850127524524
2008-05-25,-0.4873884179644577
2008-05-26,0.08624366671776543
2008-05-27,0.37883884829464914
2008-05-28,0.5746889762572251
2008-05-29,0.7676614498858532
2008-05-30,0.6673979994831867
2008-05-31,-0.1439445865814358
2008-06-01,-0.2001265741378994
2008-06-02,0.39519591134958565
2008-06-03,0.6955909121830552
2008-06-04,0.7477288482891379
2008-06-05,0.8683148120494628
2008-06-06,0.6240764444028888
2008-06-07,-0.2569445751424909
2008-06-08,-0.7214239425099762
2008-06-09,-0.4831540259977577
2008-06-10,0.5147659181280911
2008-06-11,0.8551043449848231
2008-06-12,0.9345642482304835
2008-06-13,0.9061768690802668
2008-06-14,0.7363441029381834
