date,season,season_norm
2008-03-28,-604.9504125578953,0.378452181277632
2008-03-29,-1398.1800812129782,0.1912202804735766
2008-03-30,-1268.8170371456677,0.22175480230454608
2008-03-31,-328.2295283155036,0.4437686705571206
2008-04-01,-157.8879899120569,0.48397565131118064
2008-04-02,64.4535102339655,0.5364565699466969
2008-04-03,-3.9709930939161775,0.5203058253062776
2008-04-04,-340.3461388374425,0.4409086968206724
2008-04-05,-1066.185928398503,0.2695833306008847
2008-04-06,-1127.026805742168,0.2552226056283117
2008-04-07,-257.21690131532847,0.46053030928512634
2008-04-08,-231.30492591816864,0.46664650563898175
2008-04-09,-254.99450542005343,0.4610548779242658
2008-04-10,-424.1957463532569,0.4211170500666143
2008-04-11,-401.6319905142932,0.42644294124535786
2008-04-12,-1274.6383846914202,0.2203807463289542
