date,season_norm
2008-05-23,0.3897235180321475
2008-05-24,-0.7585524967826387
2008-05-25,-0.5330327344838885
2008-05-26,0.3320859887244325
2008-05-27,0.5042367832561708
2008-05-28,0.6586247453840435
2008-05-29,0.8503639385838365
2008-05-30,0.6244279493106153
2008-05-31,-0.4916628377519884
2008-06-01,-0.22420456880495523
2008-06-02,0.6503341194156507
2008-06-03,0.8243316268259708
2008-06-04,0.7700736780488876
2008-06-05,0.9199945108038878
2008-06-06,0.5194028582686427
2008-06-07,-0.6345250120905109
2008-06-08,-0.9204865285246127
2008-06-09,-0.3810383474925212
2008-06-10,0.9424458941820264
2008-06-11,1.0009636707805654
2008-06-12,0.9686184924786236
2008-06-13,0.8940108494444597
2008-06-14,0.6635586317344333
2008-06-15,0.44003506981277535
