date,seasonal
12/16/2008,-194.3076618
12/17/2008,-95.47646531
12/18/2008,168.9880872
12/19/2008,-389.7094619
12/20/2008,-1352.037425
12/21/2008,-1540.691355
12/22/2008,-526.2271548
12/23/2008,-445.0521017
12/24/2008,-1010.930499
12/25/2008,-1991.851838
12/26/2008,-1319.700776
12/27/2008,-1113.758589
12/28/2008,-984.4907375
12/29/2008,-946.395199
12/30/2008,-820.6016084
12/31/2008,-874.3025072
1/1/2009,-1105.95232
1/2/2009,-1296.346071
1/3/2009,-1600.39834
1/4/2009,-1294.565988
1/5/2009,411.6314072
1/6/2009,863.3142761
1/7/2009,961.333039
1/8/2009,-252.0106537
1/9/2009,-663.4788835
1/10/2009,-1250.277026
1/11/2009,-1242.825033
1/12/2009,107.6857094
1/13/2009,514.8642991
1/14/2009,1340.744037
1/15/2009,1352.396989
1/16/2009,309.4200343
1/17/2009,-1147.86906
1/18/2009,-1304.759607
1/19/2009,154.3447392
1/20/2009,1106.378883
1/21/2009,1399.685239
1/22/2009,1274.559078
1/23/2009,1745.520739
1/24/2009,935.1507957
1/25/2009,-943.7405731
1/26/2009,-639.9967145
1/27/2009,586.2692585
1/28/2009,1180.210515
1/29/2009,1409.174174
1/30/2009,1349.703012
1/31/2009,689.5083742
2/1/2009,206.0850941
2/2/2009,1420.93362
2/3/2009,1250.218602
2/4/2009,723.1026595
2/5/2009,970.4245614
2/6/2009,479.7623552
2/7/2009,82.7112546
2/8/2009,146.1174202
2/9/2009,-0.18289414
2/10/2009,273.6234877
2/11/2009,322.9856586
2/12/2009,262.4997452
2/13/2009,-277.2993076
2/14/2009,-561.0186083
2/15/2009,-491.8424954
2/16/2009,-484.4689323
2/17/2009,-76.95917
2/18/2009,0.173088753
2/19/2009,165.8213589
2/20/2009,59.76084276
2/21/2009,-123.5419642
2/22/2009,-90.93576985
2/23/2009,-76.26639867
2/24/2009,98.55925871
2/25/2009,169.7770622
2/26/2009,-19.05819577
2/27/2009,-198.3813449
2/28/2009,-606.5387909
3/1/2009,-798.8774945
3/2/2009,-531.8689472
3/3/2009,-53.66482158
3/4/2009,9.059039894
3/5/2009,-117.64738
3/6/2009,-146.3900502
3/7/2009,-557.6800768
3/8/2009,-596.4828541
3/9/2009,-397.1153409
3/10/2009,-64.93921766
3/11/2009,-36.01394477
3/12/2009,-24.11832962
3/13/2009,-225.8989597
3/14/2009,-572.6854409
