date,new_avg_load
2006-07-07,4215.1307189223535
2006-07-08,3828.297534611499
2006-07-09,4441.588460412684
2006-07-10,6382.840700451309
2006-07-11,5201.592835270691
2006-07-12,4142.533528458539
2006-07-13,4798.398518487731
2006-07-14,5591.114847839878
2006-07-15,4962.54739136835
2006-07-16,4542.166138613447
2006-07-17,4867.930288511619
2006-07-18,4052.0682932531527
2006-07-19,4005.3656324297913
2006-07-20,4862.141630625693
2006-07-21,4762.214706372014
2006-07-22,4533.651952032153
2006-07-23,4523.620381543802
2006-07-24,5496.314563443178
2006-07-25,5089.515356002937
2006-07-26,5388.5404944706015
2006-07-27,5266.4739552564315
2006-07-28,5396.44020814855
2006-07-29,4833.001523716807
2006-07-30,4264.556125821984
2006-07-31,4744.272509757738
2006-08-01,4215.282954568654
2006-08-02,4841.941054060716
