date,new_avg_load
2006-04-14,4031.2621889950265
2006-04-15,3070.758847393164
2006-04-16,3373.914300454183
2006-04-17,4574.89622954019
2006-04-18,5928.047329582362
2006-04-19,6013.229963676724
2006-04-20,4195.349559673629
2006-04-21,3028.8658906900882
2006-04-22,2955.0585284253325
2006-04-23,3240.4232270591438
2006-04-24,3218.1005636762147
2006-04-25,3154.1680602583383
2006-04-26,3522.0150444933133
2006-04-27,3990.654364721429
2006-04-28,4360.9156275267305
2006-04-29,3826.9258422528246
2006-04-30,3570.6066461846726
2006-05-01,4036.4077379040805
2006-05-02,4463.560212259257
2006-05-03,4481.607434406115
2006-05-04,4006.120817536719
2006-05-05,3919.631251193517
2006-05-06,3777.5436310033056
2006-05-07,2605.173586624467
2006-05-08,3084.5881345759
2006-05-09,4104.793806352756
2006-05-10,3614.8051538353648
2006-05-11,3356.280931545123
2006-05-12,3558.5099100389098
2006-05-13,3161.540405943481
2006-05-14,3193.8413426471097
2006-05-15,3893.507962695831
2006-05-16,3938.1580525002514
2006-05-17,3868.222012458804
2006-05-18,3971.161777717111
2006-05-19,3870.9098424158315
2006-05-20,3226.4924272836543
2006-05-21,2672.6341482707317
2006-05-22,2199.371530939926
2006-05-23,3928.05717140764
2006-05-24,3628.823387356147
2006-05-25,3348.3671800202333
2006-05-26,3010.611563192776
2006-05-27,2724.107075391777
2006-05-28,2346.1038523644006
2006-05-29,2459.4492875271553
2006-05-30,3014.538456803137
2006-05-31,3508.9531528445527
2006-06-01,2278.2838342092064
2006-06-02,3290.637392745058
2006-06-03,2670.734666282721
2006-06-04,1871.1882395833336
2006-06-05,2703.2440235862928
2006-06-06,3008.084638822116
2006-06-07,3065.6185697783144
2006-06-08,2962.751087114382
2006-06-09,3093.232682291666
2006-06-10,2228.292738101388
2006-06-11,1829.9123647276701
2006-06-12,2368.867790569862
2006-06-13,2439.1494289709613
2006-06-14,2195.096974459006
2006-06-15,2587.3988357962685
2006-06-16,2439.731432466248
2006-06-17,2347.7723449272903
2006-06-18,2464.211715129391
2006-06-19,3255.2820574569155
2006-06-20,2985.5900011768817
2006-06-21,3098.063477430556
2006-06-22,2970.912040044163
2006-06-23,3082.813745259081
2006-06-24,2115.5017673944967
2006-06-25,2027.667257375836
2006-06-26,2524.2211245063304
2006-06-27,2491.3916527946194
2006-06-28,2743.39831455224
2006-06-29,2063.453057749836
2006-06-30,3213.204940145396
2006-07-01,2749.290508806553
2006-07-02,2613.115405021993
2006-07-03,3009.11577056624
2006-07-04,2935.423743871031
2006-07-05,3095.582764456465
2006-07-06,2424.66410044478
2006-07-07,2198.26763558902
2006-07-08,1929.3645762781662
2006-07-09,2586.6223770793517
2006-07-10,4368.09895045131
2006-07-11,3233.6995852706914
2006-07-12,2173.6172784585397
2006-07-13,2760.487560154398
2006-07-14,3577.635889506546
2006-07-15,3057.3688497016833
2006-07-16,2775.551930280115
2006-07-17,2922.1613718449526
2006-07-18,2045.3297099198194
2006-07-19,1952.9343824297914
2006-07-20,2775.500380625694
2006-07-21,2716.699664705348
2006-07-22,2644.5041603654854
2006-07-23,2718.6557148771362
2006-07-24,3465.554271776511
2006-07-25,3092.7485643362706
2006-07-26,3402.304494470602
2006-07-27,3316.0148719230983
2006-07-28,3457.26445814855
2006-07-29,3054.559565383475
2006-07-30,2542.1722924886512
