Date,Average Load
2006-07-14,10067.394791666668
2006-07-15,9525.892708333336
2006-07-16,8833.071041666666
2006-07-17,9728.844583333334
2006-07-18,10033.692916666669
2006-07-19,10262.156250000002
2006-07-20,10433.20625
2006-07-21,10227.575208333334
2006-07-22,9445.738958333335
2006-07-23,9024.823333333332
2006-07-24,10153.801458333335
2006-07-25,9983.833958333333
2006-07-26,9931.179999999998
2006-07-27,9752.29541666667
2006-07-28,9695.878749999998
2006-07-29,8892.209791666666
2006-07-30,8611.919166666667
2006-07-31,9843.478125
2006-08-01,10012.701041666667
2006-08-02,10308.328958333334
2006-08-03,10116.292291666668
2006-08-04,10517.965416666664
2006-08-05,9500.382500000002
2006-08-06,8991.236041666667
2006-08-07,9901.411874999998
2006-08-08,10079.905208333335
