日期,归一化
2017/10/5,0.73050922
2017/10/6,0.728187611
2017/10/7,0.730908087
2017/10/8,0.694181658
2017/10/9,0.704644241
2017/10/10,0.756241243
2017/10/11,0.725692136
2017/10/12,0.706137435
2017/10/13,0.709686327
2017/10/14,0.713276128
2017/10/15,0.725845546
2017/10/16,0.663847326
2017/10/17,0.675537192
2017/10/18,0.672970126
2017/10/19,0.674013316
2017/10/20,0.688935026
2017/10/21,0.693394152
2017/10/22,0.680282684
2017/10/23,0.649334711
2017/10/24,0.686265686
2017/10/25,0.699080561
2017/10/26,0.698876014
2017/10/29,0.71137384
2017/11/1,0.74612639
2017/11/2,0.723892122
2017/11/3,0.72768647
2017/11/4,0.713603404
2017/11/13,0.70793745
2017/11/22,0.776644814
2017/11/23,0.765425407
2017/11/25,0.658079098
2017/11/26,0.68652137
2017/11/27,0.705943115
2017/11/28,0.723840985
2017/11/30,0.725344406
2017/12/1,0.742168404
2017/12/2,0.721509148
2017/12/17,0.74786504
2018/1/9,0.81388261
2018/1/20,0.80723483
2018/1/25,0.837200978
2018/2/17,0.77167432
2018/2/18,0.742199086
2018/2/25,0.713030672
2018/2/26,0.722000061
2018/3/26,0.707712448
2018/3/27,0.718573898
2018/3/28,0.717050022
2018/3/30,0.70581016
2018/4/10,0.733106968
2018/4/11,0.720302321
2018/4/12,0.687533878
2018/4/19,0.722910296
2018/4/20,0.713869315
2018/4/21,0.672857625
2018/4/22,0.651451773
2018/4/23,0.64500854
2018/4/24,0.672049664
2018/4/25,0.678973583
2018/4/26,0.685580453
2018/4/28,0.656555223
2018/4/29,0.64779038
2018/4/30,0.64466081
2018/5/2,0.715659102
2018/5/3,0.752958262
2018/5/4,0.720159138
2018/5/5,0.687135011
2018/5/6,0.650848359
2018/5/7,0.663223457
2018/5/8,0.716262516
2018/5/9,0.72977285
2018/5/10,0.737688823
2018/5/11,0.738251327
2018/5/12,0.732084232
2018/5/13,0.704388558
2018/5/14,0.729977398
2018/5/15,0.77971302
2018/5/16,0.764699265
2018/5/17,0.778414146
2018/5/18,0.774977756
2018/5/19,0.735438805
2018/5/20,0.717315933
2018/5/21,0.718860264
2018/5/22,0.751127566
2018/5/31,0.883950213
2018/6/1,0.888194565
2018/6/2,0.849453348
2018/6/3,0.783660779
2018/6/4,0.733945611
2018/6/5,0.781277806
2018/6/7,0.810528038
