date,season
2008-05-30,387.26942034832655
2008-05-31,-386.59768853413294
2008-06-01,-201.66027599471525
2008-06-02,403.98191998195125
2008-06-03,524.1353348175257
2008-06-04,486.0983259672412
2008-06-05,589.551822080605
2008-06-06,311.4880187907355
2008-06-07,-488.6516635125869
2008-06-08,-687.2896973693173
2008-06-09,-313.91805637400205
2008-06-10,602.7911696809424
2008-06-11,642.8609004710036
2008-06-12,619.9558270884334
2008-06-13,567.7568821744643
2008-06-14,407.55103809993096
2008-06-15,252.14208559097733
2008-06-16,812.6971137799264
2008-06-17,690.41530078176
2008-06-18,633.2168159101865
2008-06-19,691.6465518502198
2008-06-20,525.2150825095152
2008-06-21,-356.7104605018624
2008-06-22,-133.63515997078218
2008-06-23,849.9098054637694
2008-06-24,1057.5003606670473
2008-06-25,1010.9930818827515
2008-06-26,1085.656493355813
2008-06-27,812.6719181954587
2008-06-28,-68.29631459934251
2008-06-29,-192.44823614628345
2008-06-30,493.078260320812
2008-07-01,482.9691610187873
2008-07-02,441.22358394067413
2008-07-03,903.4742434638663
2008-07-04,1053.647669720099
2008-07-05,14.489553309863176
2008-07-06,194.1488227946366
2008-07-07,910.0214226113129
2008-07-08,1130.5846788728452
2008-07-09,1507.378532218534
2008-07-10,1558.8644690936185
2008-07-11,1302.2761206285315
2008-07-12,514.4471700107188
2008-07-13,340.1382686857179
2008-07-14,852.4152789129137
2008-07-15,900.6226991138395
2008-07-16,987.134877708086
2008-07-17,1171.5149942328426
2008-07-18,956.0199173894849
2008-07-19,120.64963316314604
2008-07-20,267.55072730660424
2008-07-21,817.9876622511872
2008-07-22,1088.8367505091987
2008-07-23,1482.7030966748332
2008-07-24,1582.3899961938362
2008-07-25,1327.0438741060864
2008-07-26,607.8451960043711
2008-07-27,693.5509045044527
2008-07-28,1810.751980788657
2008-07-29,1726.6973489342827
2008-07-30,1504.2589986150724
2008-07-31,1427.5675622719211
2008-08-01,1068.6496508167932
2008-08-02,169.55896183692352
2008-08-03,153.77267665468872
2008-08-04,1120.7890870768845
2008-08-05,1338.8751331902995
2008-08-06,1254.0542055658368
2008-08-07,1320.8116203500624
2008-08-08,1174.9979530876176
2008-08-09,486.2329579615706
2008-08-10,832.6664620281836
2008-08-11,1609.7396731555007
2008-08-12,1440.9662713207533
2008-08-13,1271.240831685321
2008-08-14,1405.2019056748293
2008-08-15,932.15675659539
2008-08-16,-7.6218697869983965
2008-08-17,-17.23127945508584
2008-08-18,1271.8323521191294
2008-08-19,1417.1655349160415
2008-08-20,1150.1068649006181
2008-08-21,1033.3368548464298
2008-08-22,1070.6369859700899
2008-08-23,226.75905868790105
2008-08-24,127.09152901640456
2008-08-25,734.6739111456666
2008-08-26,620.9690803573275
2008-08-27,666.7096914371408
2008-08-28,773.8733874546483
2008-08-29,463.32566816233947
2008-08-30,-345.0298998722814
2008-08-31,-363.6019909512882
2008-09-01,200.0001160116514
2008-09-02,421.0337134131532
2008-09-03,619.0400560739823
2008-09-04,661.6563625393107
