date,resid
2008-05-30,-20.435301082336082
2008-05-31,119.96756856939828
2008-06-01,-178.7814340822224
2008-06-02,-58.28081650369131
2008-06-03,14.262445254644263
2008-06-04,-7.784297705555218
2008-06-05,-46.00730355371343
2008-06-06,63.94049824449394
2008-06-07,204.58947110368536
2008-06-08,148.22202197457045
2008-06-09,-261.83344071251304
2008-06-10,-236.9320945250438
2008-06-11,-314.97073533401635
2008-06-12,-396.83910607664984
2008-06-13,-147.6868583669875
2008-06-14,-71.00374744303735
2008-06-15,-183.5664321479344
2008-06-16,-229.34806041225056
2008-06-17,-176.28662626207733
2008-06-18,-221.24204706119235
2008-06-19,-228.34525596966887
2008-06-20,-65.3295353714966
2008-06-21,167.3488255377888
2008-06-22,-58.73699359106104
2008-06-23,22.627228796032796
