date,1h,2h,3h,4h,5h,6h,7h,8h,9h,10h,11h,12h,13h,14h,15h,16h,17h,18h,19h,20h,21h,22h,23h,24h
2021/8/21,87754.78125,83008.58594,78243.05469,75467.9375,73792.33594,72358.21875,72648.375,73645.88281,77030.61719,82895.17969,88442.30469,94663.82813,98756.65625,102493.9688,105072.6797,106917.1094,108410.9219,109231.6875,108668.5234,106305.1406,102777.6797,99878.86719,96585.90625,90970.90625
2021/8/22,84674.3125,79384.54688,75567.50781,71925.41406,72048.19531,69644.5625,70277.08594,70499.42188,74418.39844,79503.53125,84376.1875,90516.24219,94387.17188,97457.4375,100989.9219,103113.4141,104408.6172,105092.5469,105590.6016,102827.8047,100246.1875,97940.02344,93988.64844,89017.39063
2021/8/23,86384.53125,80647.35938,78011.13281,74252.13281,73270.54688,73545.25781,74731.77344,76662.125,81114.30469,86040.97656,91906.89844,98224.38281,103719.4453,107821.3672,110497.2031,111726.5078,111734.5391,114453.7188,112102.9297,110492.9609,108062.4844,104155.2422,99508.1875,92443.17188
2021/8/24,91015.58594,85057.80469,80966.60938,78111.54688,76342.80469,76836.96875,79254.22656,82203.9375,87263.39063,92954.73438,98864.40625,104294.0938,109464.2969,113358.0078,116378.3203,118818.2188,119861.0859,119671.3984,118829.3672,115791.7344,111716.9609,108891.8359,104466.0625,97750.46875
2021/8/25,94264.63281,88091.91406,83543.07813,78675.40625,79107.84375,79524.07031,81636.46094,84347.67969,90213.64063,93869.78906,99415.47656,104291.7891,108818.2891,112900.9453,115585.1094,118880.2422,118676.7188,118887.8359,117572.7031,114208.3203,110729.3438,105595.8203,105037.0391,97586.16406
2021/8/26,93397.07031,87652.67188,83207.0625,80616.00781,79166.78125,79168.80469,81446.24219,84487.28906,88718.65625,94391,100381.6641,105516.6953,110396.1719,113985.1641,117263.4844,118598.5078,119501.2266,119497.7813,118066.7422,115257.7734,112024.3984,108699.8359,104721.9766,98106.51563
2021/8/27,90314.75781,85155.25781,80275.42188,77623.53125,76481.03125,77334.27344,79949.57813,83650.69531,87355.3125,91942.82031,96884.22656,101846.9922,105779.2188,109480.2188,111698.1797,113708.6328,114127.9531,114333.4141,113120.5469,109430.1719,106333.1563,103104.8594,99424.21875,92279.00781
2021/8/28,87618.98438,82483.21094,77947.28906,75744.86719,74121.55469,72387.51563,72494.01563,73599.77344,77019.49219,82657.73438,88797.9375,94249.64063,98474.51563,102218.1563,104850.6406,106689.7813,107999.3594,108865,108542.9219,106279.0547,102916.1953,99918.09375,96810.70313,90779.4375
2021/8/29,84796.26563,80790.42969,76908.72656,72998.55469,72075.625,70527.17188,71220.00781,70608.65625,73448.92969,79672.84375,86437.85938,91342.96094,95029.26563,98702.41406,101745.2734,102923.9297,104057.6406,105954.3984,105560.6328,103101.7578,100835.7344,98559.08594,94232.01563,89074.34375
2021/8/30,82230.90625,78270.8125,74974.58594,71913.10938,70737.73438,71033.25781,71641.67188,73990.69531,77699.88281,82148.76563,86686.46875,92137.95313,96974.45313,100393.2969,103257.9063,105147.5703,106743.5234,107328.9453,106250.7422,104325.8438,101425.625,98349.26563,94191.96875,88408.6875
2021/8/31,78301.92188,74068.875,70781.57813,68475.99219,67996.25781,68172.3125,70796.85156,73515.71094,76412.14844,80027.02344,83526.61719,87022.8125,90112.23438,92816.66406,95075.57813,96766.04688,97712.53125,97764.89844,96970.91406,94838.35156,92678.78125,90369.42969,86725.65625,81605.5625
